Author,Title,Review,Rating,Dates,Restaurant
"andreapaul232016Singapore, Singapore",Delicious,A family member recommended this place and I also read they sold a great bowl of chendol for rm5!restaurant was also steps away from our hotel. Recommendation was spot on and the chendol was so so good. Malacca serves the best chendols! I only crave for it when I am in Malacca because its simply heavenly. The gula and the santan pair so well together. With nice soft saved iced and of course the chendol! Food was delicious. Fresh prawns with pineapple curry sauce. We cleaned the bowl. Pie tee shell was thin and crispy. So delicate and mouth watering.We had the crispy fried fish with their sambal and chap chye veg dish too. Service was good. I would love to have tried more items from the menu but we could not squeeze any more food in.Worth a visit if you are in Malacca. Enjoy!Show less,5,Reviewed 22 July 2019 ,Bulldog
"adng1129Kuala Lumpur, Malaysia",Great service and delicious food,"Food was delicious and service was exceptional. Ordered Ayam Tempra based on recommendation and it was SUPERB. Best Nyonya chicken dish i had. Fish was fried to perfection, non-greasy, crunchy outside while the flesh was still moist and flaky. Ending with the Nyonya all time favourite - Cendol was a perfect closure. Special thanks to the friendly and patient TAL for her excellent service and recommendations. This will definitely be on our go-to list next time we visit Melaka.Show less",5,Reviewed 24 June 2019 ,Bulldog
annemaried351,Good laksa,"Was recommended as having the best laksa in Melaka.  Waitress warned it was very spicy, which it was but not terribly so.  Servings quite small.  Overall good, not great.  Chicken wings were delicious though, as was lime juice.",4,Reviewed 22 June 2019 ,Bulldog
"josephwong0816Hong Kong, China",Delicious food & good service,We came here because of the good reviews and it didn’t disappoint us. The yummy authentic nanyang dishes came in small portion but were of good quality- good for two persons to try out different dishes. The prawns in spicy sauce and chicken in sweet sauce were both impressive. The refreshing cendol dessert was a perfect end for the spicy meal. Best restaurant we tried in Melaka!Show less,4,Reviewed 21 June 2019 ,Bulldog
Izza H,Hot & Spicy Dinner Date,The service was excellent. Fast and efficient. Not to forget super friendly and well mannered. The food was SUPERB AND DELICIOUS!! Everything was spicy but I would definitely recommend it for those who crave spicy food.,4,Reviewed 17 June 2019 ,Bulldog
Jolemyn,Nyonya Food,"Had the chili garam fish which was fresh and tasty, nyonya laksa was good and cendul was probably the best i had in Malaysia. A tad bit overpriced probably due to the good reviews. Place is not that crowded.",4,Reviewed 9 June 2019 ,Bulldog
GabrielleA38,Lovely atmosphere and great service!,"We had some nice meals at Bulldog tonight, and the service and atmosphere were especially great. Lovely fresh edamame beans, some vegan menu options and a tasty chicken bowl with steamed rice. Fresh orange juice and ice cold local beer! Thanks guys!",5,Reviewed 5 June 2019 ,Bulldog
"FonglinMuar, Malaysia",Food Not As Expected,"I have been to Bulldog several times - before and after they renovated the place. The staff is very friendly and attentive and kudos to them. Place is neat and clean. The last time I went with a friend, we ordered popiah and pie tee. Taste was still ok but the popiah skin had a bit of an eggy smell, and we did not see any shrimps, cucumber strips, bean sprouts, taukua, lettuce or strips of eggs for what constitutes nyonya popiah. It also looked as if it had shrunk. As for the pie tee, the pie tee shells were a bit oily and again no shrimp. By the way, the place does not cater to take aways. If you want to take away, you have to order the food which they bring to your table, and you put it in to your container which you have brought with you.Show less",3,Reviewed 2 June 2019 ,Bulldog
"fairchrissieBridge of Cally, United Kingdom",Next level Malaysian food,Outstanding Malaysian food in a warm and welcoming environment. Very hospitable staff. Highlights were the beef in white pepper and prawn with pineapple curry. The flavours were spectacular! Thanks to the friendly staff who squeezed us in just before 9pm and didn't rush us out the door. You made our trip to Melaka extra special!Show less,5,Reviewed 23 May 2019 ,Bulldog
"viking11Petaling Jaya, Malaysia",Genuine and Delicious,"Had lunch there two days ago. Reservations are recommended as space is limited. The food is extremely delicious and very genuine. The standouts were their laksa, fried fish with sambal, prawns and cendol. The cendol used genuine gula melaka (you can tell from the taste as it is not wholly sweet but has a slight tinge of bitterness) and the laksa was full of the traditional spices that is a hallmark of nyonya cuisine. The service is also friendly and quickShow less",5,Reviewed 20 May 2019 ,Bulldog
